Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
"Amplify Snack Brands, Inc.",NYSE, BETR,2015,fy2015,1,GV_024990,Richard Pearson,"Amplify Snack Brands, Inc.",IQ263515824,Packaged Foods and Meats,-,18.751,183.915,9.885,0,80.972,4.538,18.751,80.972,0,11.977,102.943,3.305,11.977,46.066,0,6.829,0,-1.777,38.85,0,-0.461,2.703,0,2.604,2.153,56.877,0,0,-12.428,0,316.889,44.449,0,357.932,-20.243,46.999,9.302,24.206,-0.777,0,14.321,0,12.75,9.885,-7.83,0,0,0,59.328,0,0,185.461,9.885,0,0,0.848,-8.607,0,-0.461,0,342.509,9.037,22.5,0,9.037,22.5,0.008,0.13224,0,14.623,0.13224,-25.187,-0.001,68.33754,-25.187,15.423,0.13,0,15.423,0.13,-22.285,357.932,68.33754,0,0.40652,0,0.40652,42810,42369,61.415,0,69.85161,61.415,-25.256,69.85161,13.136,(Invalid Formula Name),56.877,0.2208,61.715,-301.466,0.3,11.506,-4.31581,27.78063,7.105,198.211,0,-2.687,12.75,59.163,67.73663,185.461,0,74.66013,179.46,0,-32.046,213.634,6.08,60.638,45,8.241
Biogen Inc.,Nasdaq, BIIB,2015,fy2015,1,GV_024468,Hayman Capital Management,Biogen Inc.,IQ29726,Biotechnology,NasdaqGS:BIIB,1308,10763.8,3547,2120.5,1240.4,600.4,3428.5,1240.4,0,1541.5,9523.4,161.4,1541.5,2113.1,0,893.4,2012.8,29,6700.3,0,-174.4,3517.7,382.6,0,2187.6,5014.9,0,3827.5,-73.4,0,6748.9,4882.5,-429.4,19504.8,-127.7,3919.4,267.4,4754.8,-643,0,1161.6,0,4.8,3593.2,-1048.8,0,0,0,2577.7,0,-15.4,6521.5,3547,-2801.9,0,0,-4553.6,2.1,-93.4,0,10129.9,3547,5930.5,0,3547,5930.5,0.1,15.37495,0,12208.4,15.37495,-2.1,-2611.7,230.7,-2.1,9372.8,15.34,0,9374.9,15.34,-5000,19504.8,231.2,0,13.02715,0,12.99897,43132,42369,5615.3,0,218.6,5602.8,783.1,218.67272,103.1,(Invalid Formula Name),5014.9,42.87649,5683.9,2623.9,68.6,39.1,12.0032,3005.3625,1674.8,6526.3,0,5928.4,4.8,24.43,2988.625,6521.5,0,3048.3125,3097.8,0,224.3,15901.2,1307.2,4972.3,7350,-145.6
Ballard Power Systems Inc.,Nasdaq, BLDP,2015,fy2015,1,GV_028724,Street Sweeper,Ballard Power Systems Inc.,IQ25395,Electrical Components and Equipment,TSX:BLDP,40.049,56.463,-5.815,0,46.489,4.362,40.049,46.489,0,23.664,9.974,2.95,25.484,18.313,0,20.369,16.206,0.41,87.574,0,-5.55,62.449,0,-1.344,16.725,-23.646,4.213,0.006,-0.651,0,56.891,-24.454,0,161.331,18.091,-25.364,9.03,-6.363,-2.282,0,0.211,0.001,0.504,-6.574,-2.308,1.011,0,0,30.188,0,27.871,0,-5.815,0,6.723,0,23.282,-2.843,-1.529,0,49.717,-5.815,0,0,-5.815,0,948.213,-0.04142,0,-1127.655,-0.04142,-0.845,0,140.39358,-0.845,114.457,-0.04142,20.493,111.614,-0.04142,0,161.331,140.39358,0,-0.10346,0,-0.10346,42796,42369,-19.284,0,156.83719,-19.284,18.087,156.83719,16.378,(Invalid Formula Name),-23.646,0.72978,-17.145,57.566,2.139,0,0.36704,-14.52475,0,8.238,0,-0.845,1.515,NM,2.401,6.723,0,2.89725,-31.811,0.794,15.238,119.852,0.211,-21.566,0,0
"Badger Meter, Inc.",NYSE, BMI,2015,fy2015,1,GV_001968,Street Sweeper,"Badger Meter, Inc.",IQ253478,Electronic Equipment and Instruments,NYSE:BMI,8.163,377.698,25.938,0,241.922,20.599,8.163,241.922,0,56.643,135.776,1.541,56.643,92.607,0,78.596,0,-5.511,149.328,0,-7.116,194.069,0,0,90.92,43.169,0,0,-1.217,0,105.326,41.952,0,355.48,-0.8,35.831,0,41.152,-19.766,71.36,15.214,0,0,25.938,-1.907,0,0,0,104.544,0,0,0,25.938,0,0,0,-21.673,0,0,0,123.205,25.938,0,0,25.938,0,41.103,0.90191,-3.96,204.044,0.90191,0,-30.95,28.759,-3.96,232.275,0.9,2.111,232.275,0.9,0,355.48,28.894,0,0.91171,0,0.90745,43160,42369,63.768,-11.261,29.04964,63.768,-12.969,29.04451,1.507,(Invalid Formula Name),43.169,7.9958,66.968,126.949,3.2,1.246,4.37007,26.22,18.167,71.36,0,-3.96,71.36,36.9702,24.773,0,43.415,25.53363,63.197,0,4.68,303.635,18.237,44.002,1514,-3.023
Bristol-Myers Squibb Company,NYSE, BMY,2015,fy2015,1,GV_002403,Hayman Capital Management,Bristol-Myers Squibb Company,IQ25798,Pharmaceuticals,NYSE:BMY,2385,16560,1565,1885,3825,568,4270,3825,307,3906,12735,235,4117,4831,0,1221,4037,-942,10415,0,97,8631,0,-919,4412,3867,218,4766,-80,194,8300,4368,0,31748,-2291,2105,1565,2077,-820,139,446,0,0,1631,-1111,0,0,708,8017,0,0,6558,1565,-349,0,0,-1572,158,-233,0,17324,1565,1268,0,1565,1268,221,0.93881,-449,31613,0.93881,-1957,-16559,1667,-2406,14266,0.93,0,14424,0.93,0,31748,1679,0,1.59808,0,1.58666,43144,42369,4435,-2477,1669,4518,-3624,1669.45909,-3186,(Invalid Formula Name),3867,8.54763,4575,5966,140,205,3.5746,2664,577,6697,0,-1138,139,21.4732,3319.875,6558,158.2747,3434.875,2427,0,-1035,21121,793,3615,25000,-347
"BofI Holding, Inc.",Nasdaq, BOFI,2015,fy2015,1,GV_162560,Friendly Bear,"Axos Financial, Inc.",IQ13314302,Thrifts and Mortgage Finance,NYSE:AX,215.994,218.335,82.682,0,0,3.273,226.087,0,0,0,218.335,6.648,0,74.164,0,1.24,0,-6.405,357.796,0,0,19.54,0,10.453,8.551,144.171,0,455.186,0,0,2.098,140.857,0,5823.719,0,116.102,4495.772,140.857,-5.117,0,58.175,0,323,82.682,0,0,0,0,4820.038,0,0,470.155,82.682,79.621,0,0.309,-1374.176,0,0,0,5290.193,82.373,734,5.063,82.373,734,0.631,1.34645,0,265.833,1.34645,-901,-24.644,61.17791,-901,528.463,1.34,76.766,533.526,1.34,0,5823.719,61.40436,0,1.43901,0,1.4337,42971,42185,NA,-0.309,62.075,0,1325.364,62.56338,67.29,(Invalid Formula Name),NA,8.5133,NA,528.463,2.806,45.503,8.5133,88.03563,68.481,793.155,0,-167,323,41.3007,0,470.155,0.3737,0,567.068,8.91,0,0,66.993,0,467,-8.818
"BofI Holding, Inc.",Nasdaq, BOFI,2015,fy2015,1,GV_162560,Real Talk Investments,"Axos Financial, Inc.",IQ13314302,Thrifts and Mortgage Finance,NYSE:AX,215.994,218.335,82.682,0,0,3.273,226.087,0,0,0,218.335,6.648,0,74.164,0,1.24,0,-6.405,357.796,0,0,19.54,0,10.453,8.551,144.171,0,455.186,0,0,2.098,140.857,0,5823.719,0,116.102,4495.772,140.857,-5.117,0,58.175,0,323,82.682,0,0,0,0,4820.038,0,0,470.155,82.682,79.621,0,0.309,-1374.176,0,0,0,5290.193,82.373,734,5.063,82.373,734,0.631,1.34645,0,265.833,1.34645,-901,-24.644,61.17791,-901,528.463,1.34,76.766,533.526,1.34,0,5823.719,61.40436,0,1.43901,0,1.4337,42971,42185,NA,-0.309,62.075,0,1325.364,62.56338,67.29,(Invalid Formula Name),NA,8.5133,NA,528.463,2.806,45.503,8.5133,88.03563,68.481,793.155,0,-167,323,41.3007,0,470.155,0.3737,0,567.068,8.91,0,0,66.993,0,467,-8.818
magicJack VocalTec Ltd.,Nasdaq, CALL,2015,fy2015,1,GV_185276,Street Sweeper,magicJack VocalTec Ltd.,IQ47014433,Alternative Carriers,-,78.589,100.962,13.51,3.022,34.142,3.585,81.611,34.142,0,2.925,66.82,5.268,2.925,36.956,0,5.723,4.521,0.897,95.103,0,-0.088,12.271,0,-1.782,3.302,25.343,-8.527,0,-0.031,-0.873,38.991,25.312,0,168.836,0,25.364,1.086,25.312,-1.024,0,11.802,0,0,13.51,0,0,0,0,59.924,0,0,0,13.51,0,0,0,-1.024,0,0,0,121.168,13.51,0,0,13.51,0,111.773,0.79588,0,48.094,0.79588,0,-126.772,16.975,0,47.668,0.79,0.002,47.668,0.79,-20.198,168.836,17.045,0,0.93196,0,0.92813,43175,42369,28.928,0,15.61,28.928,-21.696,15.61021,2.644,(Invalid Formula Name),25.343,3.05368,29.728,8.677,0.8,0,0.55586,15.82,5.213,0,0,0,0,46.6261,32.69475,0,0,32.73038,-81.611,0,-9.062,47.668,9.027,27.904,92,12.863
Callidus Capital Corporation,Toronto, CBL-CA,2015,fy2015,0,GV_020340,West Face Capital,Callidus Capital Corporation,IQ35581113,Specialized Finance,TSX:CBL,25.21,108.587,61.952,0,0,0,26.52,0,0,935.13,108.587,4.452,941.198,17.78,0,0,0,0,1104.84,0,0,0,0,-2.344,0,87.994,3.61,0,0,-10.616,0,86.302,-6.405,1121.798,0.59,-207.82,17.519,86.892,0,0,24.94,0,0,61.952,0,0,0,0,34.763,0,0,585.468,61.952,0,0,0,0,0,0,0,630.327,61.952,213.77,0,61.952,213.77,416.75,1.22753,0,64.007,1.22753,-4.375,0,50.469,-4.375,491.471,1.22,1.413,491.471,1.22,-34.154,1121.798,50.787,0,1.06875,0,1.06206,42824,42369,NA,-3.26,49.35436,0,173.394,49.35436,-34.426,(Invalid Formula Name),NA,9.95801,NA,491.471,0,34.644,9.95801,53.93875,0,585.468,0,209.395,0,28.7022,0,585.468,5.2621,0,558.948,38.873,0,1076.939,31.345,0,33,-6.405
"Cellular Biomedicine Group, Inc.",Nasdaq, CBMG,2015,fy2015,1,GV_177179,Pump Stopper,"Cellular Biomedicine Group, Inc.",IQ224236494,Biotechnology,NasdaqGM:CBMG,14.8846,2.50542,-19.44772,0,1.88033,2.09464,14.8846,1.88033,0,0.63033,0.62509,7.59244,0.78041,13.77741,0,0.39089,7.57323,-0.49794,16.69429,0,-0.14249,4.95477,0,-0.16603,2.7689,-20.72554,0,5.37941,0.04222,-0.96437,23.62789,-20.05289,0,49.46042,-0.12343,-11.7511,0.26089,-20.17632,-1.87454,0,-0.7286,0,0,-19.44772,-1.56863,0,0,0,3.01926,0,-4.26042,0,-19.44772,0.00148,0,0,-7.70211,0,0,0,3.09549,-19.44772,0,0,-19.44772,0,0.01171,-1.69519,0,-57.33831,-1.69519,0,0,11.47231,0,46.36494,-1.7,19.64715,46.36494,-1.7,0,49.46042,11.47231,0,-1.09246,0,-1.09246,43164,42369,-18.6309,0,11.71165,-18.6309,19.64715,11.98369,0.11401,(Invalid Formula Name),-20.72554,3.95887,-17.58707,22.73705,1.04383,0,1.94141,-12.53306,0.10808,0,0,0,0,NM,-10.94322,0,0,-10.94322,-14.8846,0,1.54188,46.36494,-0.7286,-20.50544,126,0
"Cellular Biomedicine Group, Inc.",Nasdaq, CBMG,2015,fy2015,1,GV_177179,Melissa Davis,"Cellular Biomedicine Group, Inc.",IQ224236494,Biotechnology,NasdaqGM:CBMG,14.8846,2.50542,-19.44772,0,1.88033,2.09464,14.8846,1.88033,0,0.63033,0.62509,7.59244,0.78041,13.77741,0,0.39089,7.57323,-0.49794,16.69429,0,-0.14249,4.95477,0,-0.16603,2.7689,-20.72554,0,5.37941,0.04222,-0.96437,23.62789,-20.05289,0,49.46042,-0.12343,-11.7511,0.26089,-20.17632,-1.87454,0,-0.7286,0,0,-19.44772,-1.56863,0,0,0,3.01926,0,-4.26042,0,-19.44772,0.00148,0,0,-7.70211,0,0,0,3.09549,-19.44772,0,0,-19.44772,0,0.01171,-1.69519,0,-57.33831,-1.69519,0,0,11.47231,0,46.36494,-1.7,19.64715,46.36494,-1.7,0,49.46042,11.47231,0,-1.09246,0,-1.09246,43164,42369,-18.6309,0,11.71165,-18.6309,19.64715,11.98369,0.11401,(Invalid Formula Name),-20.72554,3.95887,-17.58707,22.73705,1.04383,0,1.94141,-12.53306,0.10808,0,0,0,0,NM,-10.94322,0,0,-10.94322,-14.8846,0,1.54188,46.36494,-0.7286,-20.50544,126,0
"Clean Diesel Technologies, Inc.",Nasdaq, CDTI,2015,fy2015,1,GV_282553,Street Sweeper,"CDTi Advanced Materials, Inc.",IQ1477040,Auto Parts and Equipment,OTCPK:CDTI,2.958,39.738,-8.534,0,28.846,0.924,2.958,28.846,0,4.255,10.892,0.767,4.255,11.903,-0.712,7.918,7.826,-1.705,16.699,0,-2.483,15.86,0,2.79,1.538,-8.837,0,0,-1.166,0.312,6.56,-7.339,0,25.102,-1.482,-11.581,5.012,-8.821,-0.661,3.513,-0.399,0.208,0,-8.422,0,0,-0.112,0,16.913,0,0,7.559,-8.534,0,0,0,-0.453,0,-1.482,0.671,24.665,-8.534,0,0,-8.422,0.671,0.036,-13.54173,0,-199.589,-13.36401,0,0,0.6302,0,0.437,-13.54173,7.115,0.437,-13.36401,0,25.102,0.6302,0,-7.27844,0,-7.27844,42832,42369,-7.913,0,0.71191,-7.913,7.786,0.71191,-4.262,(Invalid Formula Name),-8.837,0.61385,-7.013,-6.123,0.9,1.075,-8.60085,-4.58688,0.227,11.072,0,0.671,3.513,NM,-4.09688,7.559,0,-3.36813,8.114,0,-0.292,11.509,-0.265,-8.574,122,-0.134
Cadiz Inc.,Nasdaq, CDZI,2015,fy2015,1,GV_012964,Pump Stopper,Cadiz Inc.,IQ294780,Water Utilities,NasdaqGM:CDZI,2.69,0.304,-24.013,0,0.334,0.27,2.69,0.334,0,0.187,-0.03,1.116,0.187,13.709,0,0,0,0.052,3.186,0.27,0,50.133,0,0.009,44.474,-14.009,0,0,-10.07,0,3.813,-24.009,0,54.79,0,-12.568,0.309,-24.009,-0.906,0,0.004,0,0.049,-24.013,0,0,0,0,2.023,0,0,107.592,-24.013,0,0,0,-0.906,0,0,0,111.288,-24.013,0,0,-24.013,0,0.179,-1.35041,0,-383.532,-1.35041,-0.042,0,17.782,-0.042,-56.498,-1.35041,0,-56.498,-1.35041,0,54.79,17.782,0,-0.84387,0,-0.84387,43173,42369,-13.739,0,17.87602,-13.739,-0.042,17.8981,-13.516,(Invalid Formula Name),-14.009,-3.16055,-13.417,-60.311,0.322,0,-3.37385,-15.00563,0.004,107.641,0,-0.042,0.049,NM,-12.55538,107.592,0,-8.09463,104.951,10.07,-0.181,51.143,0,-14.645,10,0
Cadiz Inc.,Nasdaq, CDZI,2015,fy2015,1,GV_012964,GeoInvesting,Cadiz Inc.,IQ294780,Water Utilities,NasdaqGM:CDZI,2.69,0.304,-24.013,0,0.334,0.27,2.69,0.334,0,0.187,-0.03,1.116,0.187,13.709,0,0,0,0.052,3.186,0.27,0,50.133,0,0.009,44.474,-14.009,0,0,-10.07,0,3.813,-24.009,0,54.79,0,-12.568,0.309,-24.009,-0.906,0,0.004,0,0.049,-24.013,0,0,0,0,2.023,0,0,107.592,-24.013,0,0,0,-0.906,0,0,0,111.288,-24.013,0,0,-24.013,0,0.179,-1.35041,0,-383.532,-1.35041,-0.042,0,17.782,-0.042,-56.498,-1.35041,0,-56.498,-1.35041,0,54.79,17.782,0,-0.84387,0,-0.84387,43173,42369,-13.739,0,17.87602,-13.739,-0.042,17.8981,-13.516,(Invalid Formula Name),-14.009,-3.16055,-13.417,-60.311,0.322,0,-3.37385,-15.00563,0.004,107.641,0,-0.042,0.049,NM,-12.55538,107.592,0,-8.09463,104.951,10.07,-0.181,51.143,0,-14.645,10,0
Celgene Corporation,Nasdaq, CELG,2015,fy2015,1,GV_013599,Hayman Capital Management,Celgene Corporation,IQ258769,Biotechnology,NasdaqGS:CELG,4880.3,9256,1602,1671.6,1949,402,6582.7,1949,0,1420.9,7307,612,1420.9,2300,0,443.4,2089,-305,9400.9,0,-51,1445.6,279,527,814.1,2639,37,22.4,-280,362,15737.1,2360,0,26964.4,-337,2785,240.8,2023,-286,0,421,0,0,1602,-7695,0,0,0,1968.9,0,0,14162.3,1602,1730,0,0,-6259,0,-84,6111,21045.4,1602,7913,0,1602,14024,9.4,2.02222,-6213,8074.4,2.02222,-514,-14051.8,792.2,-6727,5919,1.94,252,5919,1.94,-3257,26964.4,824.9,0,1.8619,0,1.7881,43138,42369,3041,0,786.6,3041,4283,781.66454,758,(Invalid Formula Name),2639,7.52479,3107,-9818.1,66,243,-12.48169,1475,361,14162.3,0,7297,0,20.8106,1975.3,14162.3,0,2169.675,7579.6,0,207.7,20081.3,455,2755,6971,-34
China Gerui Advanced Materials Group Limited,Nasdaq, CHOP,2015,fy2015,1,GV_182703,Street Sweeper,China Gerui Advanced Materials Group Ltd.,IQ53179457,Steel,OTCPK:CHOP.F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClearSign Combustion Corporation,Nasdaq, CLIR,2015,fy2015,1,GV_171155,Cannell Capital,ClearSign Combustion Corporation,IQ119118786,Electronic Equipment and Instruments,NasdaqCM:CLIR,10.985,0.061,-7.898,0,0.05,0.2,10.985,0.05,0.593,0,0.011,0.954,0,4.645,0,0,2.715,0,11.188,0,0,0.884,0,0.242,0.123,-7.349,0,0,0.044,0,2.881,-7.305,0,14.202,-0.593,-6.261,0.495,-7.898,-0.049,0,0,0,0,-7.898,0,0,0,0,1.624,0,-1.113,0,-7.898,0,0,0,-1.162,0,0,0,1.624,-7.898,0,0,-7.898,0,0.001,-0.63379,0,-29.158,-0.63379,0,0,12.46152,0,12.578,-0.63379,17.775,12.578,-0.63379,0,14.202,12.46152,0,-0.36638,0,-0.36638,42780,42369,-7.149,0,12.86894,-7.149,16.563,12.86894,9.14,(Invalid Formula Name),-7.349,0.97739,-6.932,9.697,0.217,0,0.75352,-4.56563,0,0,0,0,0,0,-4.30613,0,0,-4.30613,-10.985,0,-0.295,12.578,0,-7.198,18,0
Clean Energy Fuels Corp.,Nasdaq, CLNE,2015,fy2015,1,GV_176343,Street Sweeper,Clean Energy Fuels Corp.,IQ1543272,Oil and Gas Refining and Marketing,NasdaqGS:CLNE,43.724,384.32,-134.242,102.944,258.485,52.166,146.668,258.485,0,91.282,125.835,10.779,134.312,112.239,0,29.289,0,3.426,329.166,55.219,5.191,733.834,0,-12.005,516.324,-41.623,-4.134,5.695,-94.97,0,134.611,-135.681,0,1000.528,1.837,-12.096,26.906,-133.844,-51.415,0,1.614,0,149.856,-135.458,0,0,0,1.118,246.393,0,0,417.294,-134.242,18.129,0,0,-33.869,26.393,0,0,671.583,-134.242,0.415,0,-134.242,0.415,0.009,-1.4654,0,-591.683,-1.4654,-6.322,0,91.60758,-6.322,302.552,-1.4654,7.197,328.945,-1.4654,0,1000.528,91.60758,0,-0.91242,0,-0.91242,43172,42369,10.543,0,92.38272,9.728,0.407,97.36084,-48.657,(Invalid Formula Name),-41.623,3.27498,19.172,167.941,8.629,37.662,1.81788,-83.58463,0.89,567.15,0,-5.907,149.856,NM,-70.9595,417.294,0,-14.04538,420.482,95.813,2.614,896.095,1.169,-40.872,994,0.445
CONSOL Energy Inc.,NYSE, CNX,2015,fy2015,1,GV_120093,Kynikos Associates,CNX Resources Corporation,IQ399117,Oil and Gas Exploration and Production,NYSE:CNX,72.574,750.898,-374.885,0,506.409,371.783,72.574,506.409,828.905,151.383,244.489,14.314,287.005,121.27,275.991,66.792,0,101.107,804.763,371.783,0.933,13466.192,0,-131.825,8403.991,80.401,0,237.33,-197.121,69.404,0,-82.049,0,10929.902,-848.508,511.596,250.609,-930.557,-840.349,952,-280.359,86.737,1.819,-650.198,0,7.59,275.313,0,1685.359,0,0,2703.899,-374.885,-72.288,34.884,0,-996.217,153.749,-11,952,6074.126,-374.885,492.76,0,-650.198,1444.76,2.294,-1.63572,0,2579.834,-2.83699,-1267.364,0,229.18613,-1267.364,4702.027,-1.63874,8.288,4855.776,-2.84,-83.855,10929.902,229.18613,0,-0.22375,0,-0.22375,43138,42369,452.184,-33.281,229.05424,507.081,373.776,229.05424,-110.845,(Invalid Formula Name),80.401,20.52801,478.544,4702.027,26.36,207.094,20.52801,-51.28063,-59.584,3700.192,0,177.396,961.409,NM,-754.657,2738.783,NM,-630.20638,3627.618,199.142,226.205,8555.968,-4.818,-388.165,3114,-275.541
"Conn's, Inc.",Nasdaq, CONN,2015,fy2015,1,GV_156614,Copperfield Research,"Conn's, Inc.",IQ7620997,Computer and Electronics Retail,NasdaqGS:CONN,12.223,1485.218,58.513,0,1101.55,18.485,12.223,777.046,3.646,643.094,383.668,4.097,721.855,286.925,0,159.068,0,-436.018,905.675,0,-38.537,221.323,0,-3.374,120.218,96.192,0,0,0,-8.345,0,96.192,0,1645.804,-5.69,-189.901,85.355,90.502,-61.696,0,31.989,19.283,0,58.513,0,0.395,0,0,145.009,0,0,772.497,58.513,0,0,0,-42.413,0,-5.69,0,992.134,58.513,730.705,0,58.513,730.705,0.364,1.61495,0,421.911,1.61495,-494.15,0,36.232,-494.15,653.67,1.59,1.669,653.67,1.59,0,1645.804,36.9,0,1.65931,0,1.62927,42829,42035,114.677,0,36.352,114.677,238.81,36.35232,6.496,(Invalid Formula Name),96.192,17.98168,154.077,653.67,39.4,26.056,17.98168,60.12,64.738,772.892,8,236.555,0.395,35.3461,-123.352,772.497,0,-126.471,760.669,29.554,147.477,1426.562,57.529,52.981,4300,-25.54
California Resources Corporation,NYSE, CRC,2015,fy2015,1,GV_021431,BlueMountain Capital Management,California Resources Corporation,IQ263774786,Oil and Gas Exploration and Production,NYSE:CRC,12,2270,-3554,0,951,1004,12,951,4852,200,1319,0,242,287,0,58,0,99,438,1004,0,20996,0,-212,6312,-193,0,0,-326,0,0,-547,0,7053,-4929,403,257,-5476,-541,0,-1922,0,100,-3554,-11,0,0,0,605,0,0,6043,-3554,0,0,0,-757,0,-67,0,7969,-3554,2035,0,-3554,2035,0,-92.79373,0,-5683,-92.79373,-1668,0,38.3,-1668,-916,-92.79373,8,-916,-92.79373,0,7053,38.3,0,-8.92624,0,-8.92624,43158,42369,811,-12,38.81805,811,352,38.81819,-2,(Invalid Formula Name),-193,-23.59727,822,-916,11,350,-23.59727,-341.875,0,6143,0,367,100,NM,19.625,6043,NM,223.375,6131,0,156,5227,336,270,1700,-2258
Cresud Inc.,Nasdaq, CRESY (ADR),2015,fy2015,0,GV_201336,Spruce Point Capital,"Cresud Sociedad Anónima Comercial, Inmobiliaria, Financiera y Agropecuaria",IQ405851,Diversified Real Estate Activities,BASE:CRES,634,5652,1318,504,4420.5,105,1138,4420.5,-4193,934,1231.5,31,1515,1151.5,0,694,0,-480,4273,0,-17,3406,0,134,2559,-312,0,4435,-757,0,176,-1805.3,0,32346,6025.3,512,316,4220,-239,1291,1396,328,1186,2824,0,0,0,0,4473,0,-10,5833,1318,-1312,0,0,855,6757,0,22,17177,1318,2191,0,1318,2213,495,2.65855,-2,6341,2.65855,-2827,-32,495.75966,-2829,8412,2.362,1,15169,2.362,-33,32346,558.23344,0,-5.31369,0,-4.71902,42986,42185,-207,-34,498.55813,-434,-1777,498.55813,-369,(Invalid Formula Name),-312,16.87266,-103.5,8236,103.5,799,16.51964,-2634.3125,430,8310,0,-616,2477,33.0805,-659.171,5833,2.5796,-112.921,7172,0,-188.079,23479,693,-446,0,703
CorMedix Inc.,NYSE MKT, CRMD,2015,fy2015,1,GV_183945,Street Sweeper,"CorMedix, Inc.",IQ79611048,Pharmaceuticals,AMEX:CRMD,11.81742,0.21013,-18.18753,23.56839,0.31872,0.01508,35.3858,0.31872,0,0.31577,-0.10859,3.22566,0.31577,10.26356,0,0.37657,6.28182,-0.24819,37.05886,0,-0.03854,0.13022,0,0.82511,0.03787,-16.65397,0.11308,0,0.05643,0,0,-18.18753,0,37.10173,0,-12.5269,1.7094,-18.18753,-0.01545,0,0,0,0,-18.18753,0,0,0,0,3.06136,0,0,0,-18.18753,-23.59263,0,0.03312,-23.60807,0,0,0,3.09024,-18.22065,0,0.00045,-18.22065,0,0.03596,-0.58132,0,-94.3916,-0.58132,0,0,31.34355,0,34.01104,-0.58132,43.60297,34.01149,-0.58132,0,37.10173,31.34355,0,-0.36266,0,-0.36266,42810,42369,-16.6389,0,0,-16.6389,43.62949,35.85419,7.47788,(Invalid Formula Name),-16.65397,0.94859,-16.56678,34.01104,0.07212,0.00396,0.94859,-11.36721,0,0,0,0,0,0,-6.52458,0,0,-6.5221,-35.3858,0,-0.66134,34.01149,0,-16.65434,9,0
