Company,Exchange,Ticker,U.S.-listed,gvkey,Short-seller ,Sample year,URL,Announce date,End date,Allegations,Summary,Companyfate,Oneweekret,CampaignRet,CampaignRetVsSP500,CompanyTactics,Marketcap,Duplicate copy of Shortseller (added just to make reading easy),Main activist document(s) of interest,(Part 2 for Column N),Chinese company,Notes,Synopsis Excerpt,summary from original source,Focus,Keywords Combined TOTAL
"Image Sensing Systems, Inc. ",Nasdaq,ISNS,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/343/campaigns/936,8/9/2016,,Other overvaluation,"The Street Sweeper said that Image Sensing Systems was overvalued, and it noted the company's poor earnings and declining revenue.",Alive,-9.10%,-12.30%,-13%,n/a,20,,http://www.thestreetsweeper.org/undersurveillance/Image_Sensing_Systems__ISNS___What_Goes_Up_Must_Go_Down_____And_Fast,,0,,"On 8-9-2016, The Street Sweeper said that Image Sensing Systems was overvalued based on an EV/EBITDA of 17.91. It said that Image Sensing Systems was cash poor, with about $964,000 in cash, and The Street Sweeper noted the company's ""extreme"" cash burn. The Street Sweeper also noted the company's poor earnings and declining revenue for the six months ended June 2016, which The Street Sweeper said was the lowest reported in 8 years.","ISNS is up for no good reason, posing a significant risk of suddenly dropping out from under investors. We're looking for this vastly overvalued stock to get hammered right back to a more reasonable valuation of about $2.40 per share.",Financial modeling,Inappropriate valuation methods;cash shortage
"ImageWare Systems, Inc.",OTC/Pink, IWSY,0,GV_133844,Pump Stopper,2014,http://www.activistshorts.com/companies/349/campaigns/470,9/9/2014,9/9/2015,Other overvaluation,Pump Stopper said ImageWare Systems was significantly diluting its shares to benefit insiders while deficits increased and the company continued to post significant losses.,Alive,-10.40%,-27%,-26.00%,Public equity offering,214,Pump Stopper,http://seekingalpha.com/article/2482345-imageware-systems-minus-86-percent-downside-strong-sell-smart-money-eager-to-sell-at-1_05,,0,,"On 9-9-2014, Pump Stopper said ImageWare Systems, Inc. had subjected shareholders to significant dilution, from 1.8 million shares in 1999 to 93.2 million shares as of September 2014. Pump Stopper said the company had routinely mislead shareholders with promises and announcements that did not pan out, while insiders benefited handsomely and earnings deficits increased. Pump Stopper also criticized the company's auditor, its ""curious related party, convertible debt,"" and the company's ""second tier"" technology.","IWSY “smart money” tried to sell their stock at $1.05 recently, but couldn’t find buyers. IWSY now trades at ~2.5x this level and faces an enormous share supply overhang.

IWSY’s related party debt is ""curious,"" while IWSY Auditor cited for “audit deficiencies” with even more worrying issues explained below.

It seems IWSY’s much touted partnerships, including Fujitisu, are apparently “non-exclusive” arrangements.

IWSY management seems to have an interesting ""pattern"" of repeated failure and egregious cash burn funded by 25%+ dilution annually, while personally collecting millions of dollars in personal compensation.

IWSY shares are severely overvalued under even the most wildly optimistic assumptions value IWSY at ~$0.32 per share. Near term -86% downside as long-term bankruptcy seems likely.",Management,Additional Equity offerings to fund company;Managerial self-dealing;Ineffective management/staff;Auditor distancing / switching / weakness;Related party transactions
"Immunomedics, Inc.",Nasdaq, IMMU,1,GV_005902,Alpha Exposure,2015,http://www.activistshorts.com/companies/516/campaigns/696,8/18/2015,,Medical effectiveness,"Alpha Exposure said one of Immunomedics, Inc.'s drugs recently failed to meet its primary endpoint in Phase 3 trials and continued the company's track record of delivering no approved drugs since 1982.",Alive,1.60%,58%,59.90%,n/a,173,Alpha Exposure,http://seekingalpha.com/article/3448816-immunomedics-trail-tears-shareholders,,0,,"On 8-18-2015, Alpha Exposure said Immunomedics, Inc.'s recent news that its drug, veltuzumab, received orphan designation was meaningless. Alpha Exposure noted that another one of the company's drugs recently failed to meet its primary endpoint in Phase 3 trials and continued the company's track record of delivering no approved drugs since its founding in 1982. Alpha Exposure concluded that the company's pipeline had limited value due to its early-stage drugs and the company's abysmal history of development success.","IMMU's orphan designation for veltuzumab is meaningless.

IMMU has failed to approve any drug since 1982.Naturally, husband and wife team David Goldenberg and Cynthia Sullivan sold plenty of Immunomedics stock in advance of the EMBODY trial failures (here). ",Product,Product not as valuable as perceived;Clinical trials unsuccessful;Ineffective management/staff;Strategy issues;Growth unsustainable;Insider selling
"Impac Mortgage Holdings, Inc.",NYSE MKT, IMH,1,GV_061586,Greenwich Research Group,2015,http://www.activistshorts.com/companies/465/campaigns/626,5/11/2015,,Misleading accounting,"Greenwich Research Group said Impac Mortgage Holdings had misleadingly shown a great quarter thanks to its recent acquisition of Cash Call, a business that had been sued by the Consumer Financial Protection Bureau along with several states for collecting money it did not owe and charging exorbitant interest rates.",Alive,8.50%,-1%,1.50%,n/a,194,Greenwich Research Group,http://seekingalpha.com/article/3169886-impac-mortgage-poor-business-model-misleading-accounting-target-5_96,,0,,"On 5-11-2015, Greenwich Research Group said Impac Mortgage Holdings, Inc. had misleadingly shown a great quarter thanks to its recent acquisition of Cash Call, a business that had been sued by the Consumer Financial Protection Bureau along with several states for collecting money it did not owe and charging exorbitant interest rates. Greenwich Research said Cash Call's strong first quarter was due to a refinancing wave that would not repeat in future quarters. Greenwich Research said much of Cash Call's profits over the next several years were promised to its previous owners, further depressing any real positive results the acquisition would have for Impac. Greenwich Research also argued that Impac's other business operations were losing money. On 11-13-2015, Greenwich Research commented on Impac's quarterly earnings report and said that originations would continue to fall dramatically. Greenwich Research also said that Impac's reported earnings per share was very misleading because most of the profit was generated through a reduction in the ""expected"" amounts owed on an earlier Cash Call acquisition, and Greenwich Research said that without this accounting entry, earnings would have come in at $0.18. It said that the company would need to raise cash very early in 2016 and also noted the company's bait-and-switch advertising tactics, which Greenwich Research said was a business practice that had resulted in lawsuits from the Consumer Financial Protection Bureau.","Recent stock runup due solely to acquisition of Cash Call.

Cash Call successfully sued by the Consumer Finance Protection Bureau and a number of states for deceptive and abusive practices, harassment and charging customers interest rates of 100%+.

Cash Call is a refinancing machine that generated huge profits in Q1, 2015, but that won't continue and is already waning.

Most all profits from Cash Call must be paid back to previous owners.

Legacy IMH business continues to lose money.",Financial modeling,Regulatory headwinds;Non-core operations masking growth;Growth unsustainable;Aggressive accounting;Additional Equity offerings to fund company;Cash shortage;Deceptive Marketing;Recent rally
"IMS Health Holdings, Inc. ",NYSE,IMS,1,,Suhail Capital,2016,https://www.activistshorts.com/companies/607/campaigns/831,1/21/2016,10/3/2016,Competitive pressures; Ineffective roll-up,Suhail said that IMS's acquisition of Cegedim was a strategic pitfall and that the impact of losing Sanofi as a customer would harm the company's strategic push into the CRM space.,Acquired,-4.30%,33.60%,16.20%,Make acquisition,7709,,http://seekingalpha.com/article/3823526-veeva-went-long-former-favorite-short,,0,,"On 1-21-2016, Suhail Capital said that IMS Health Incorporated's acquisition of Cegedim was likely to be a strategic pitfall, and Suhail added that secular decline in the company's CRM business would offset cost synergies. It said that the bulk of restructuring value had already been extracted by private equity sponsors, and Suhail said that it was too late for the company to transform into a Veeva or Medidata. Suhail also said that the impact to IMS of losing Sanofi as a customer would harm IMS' strategic push into the space, and Suhail added that losing Sanofi's 20,000 to 25,000 Mobile Intelligence seats would be a significant 30-40% hit to the company's SaaS seat base. Suhail questioned the idea that Cegedim's seat count had not changed in two and a half years, and it said that the company's tech services organic growth was unimpressive.

On 5-3-2016, IMS Health announced an all-stock merger with Quintiles Transnational Holdings Inc. The company said that upon completion of the merger, IMS Health shareholders would own approximately 51.4% of the shares of the combined company and that the merged company would be named Quintiles IMS Holdings, Inc.

On 10-03-2016, IMS Health announced that it had completed its previously announced all-stock merger with Quintiles Transnational Holdings Inc. and filed a notification of removal from listing from the New York Stock Exchange.",n/a,Strategy,customer losses;too many acquisitions
Ingram Micro Inc. ,NYSE,IM,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/766/campaigns/1060,12/1/2016,,Other overvaluation,Street Sweeper said that a previously announced $6 billion acquisition of Ingram Micro Inc. by Tianjin Tianhai Investment was in trouble.,Acquired,3.90%,3.90%,2.90%,n/a,5605,,http://www.thestreetsweeper.org/undersurveillance/Ingram_Micro__IM___Leaked_Documents_Could_Jeopardize_Buy_Out,,0,,"On 12-1-2016, The Street Sweeper said that a previously announced $6 billion acquisition of Ingram Micro Inc. by Tianjin Tianhai Investment was in trouble. Street Sweeper said that new regulations leaked to the media suggested that Chinese companies would no longer be able to acquire a company for $1 billion or more outside of their own core business and that Ingram was not part of Tianjin's core business. Street Sweeper said it appeared that most sell-side analysts assumed the buy-out would go through due to a lack of knowledge of the new restrictions.

On 12-6-2016, Ingram Micro announced that, on 12-5-2016, Tianjin Tianhai Investment completed its acquisition of the company for $38.90 per share.","The Street Sweeper issues an investor alert for Ingram Micro (IM).
Leaked Chinese government documents indicate the $6 billion acquisition of Ingram could be in trouble.  In February, Ingram Micro announced China-based Tianjin Tianhai Investment would pay $38.90 per share cash to acquire Ingram.  But now a China-based company will not be allowed to acquire a company for $1 billion or more that is not within their core business, suggest new Chinese regulations leaked to the Chinese media.  Under the buyout deal, Ingram Micro would become a subsidiary of China-based HNA Group specializing in logistics, aviation, financial services and tourism. HNA is a major shareholder of Tianjin Tianhai, which focuses on shipping, logistics and financing. California-based Ingram Micro would be outside the Chinese companies' core business because it is an information technology company.
Below is a partial copy of the photographed document said to be from the People's Bank of China conference record, indicating the central government likely has already passed the regulation on to the bank. It's not perfectly clear whether the restrictions would institute an actual ban or more intensive scrutiny, but the economic issues demand that China reduce its capital outflow:
",Legal,legal headwinds;regulatory headwinds
"InnerWorkings, Inc.",Nasdaq, INWK,1,GV_174541,Prescience Point,2013,http://www.activistshorts.com/companies/180/campaigns/246,4/30/2013,4/30/2014,Misleading accounting,"Prescience Point Research Group accused InnerWorkings of inflating revenue, in violation of GAAP, to mask lagging performance.",Alive,-0.90%,-31%,-51.50%,n/a,527,Prescience Point,http://seekingalpha.com/article/1383721-exposing-the-inner-workings-of-revenue-accounting-inflation-at-innerworkings,,0,,"On 4-30-2013 Prescience Point Research Group issued a report alleging that InnerWorkings, Inc. was inflating its revenue by reporting revenue on a gross basis in violation of GAAP, placing the company in violation of its credit terms. Prescience Point pointed to an SEC comment letter from October 2012 that questioned InnerWorkings' accounting practices. Also noted in the report were major corporate governance concerns, including the departure of four of seven directors in 2012, unusually high management salaries and insider sales just before InnerWorkings lost a major contract. Prescience Point noted several other key issues: lagging business performance, overstated market opportunity, opaque acquisitions and increased risk exposure to foreign markets.","IW lures investors with its ""huge"" opportunity to crack the ""$500bn"" printing market. We believe IW is both mischaracterizing the market opportunity and its revenues. IW persistently touts its revenue growth, which has largely been achieved through an opaque and aggressive roll-up strategy that uses accounting tricks to defer costs to future periods, while artificially boosting current EBITDA and EPS .
At the heart of IW's revenue shenanigans are its misapplication of gross vs. net accounting. We have had its customer and supplier documents reviewed by a 3rd party accounting expert, and conclude IW is blatantly violating GAAP. IW has no inventory risk as it never takes title to goods, and makes suppliers provide a full warranty for its products. The SEC is already hot on IW's tail and issued a comment letter in October 2012 which questioned, among other things, the company's use of gross revenue accounting. IW is clearly struggling, and not growing nearly as fast as it is reporting. Investors should have been spooked in 2012 when two directors resigned, while two others decided not to stand for reelection. IW has worked hard to convince sell-side analysts that it is a revenue growth machine, worthy of a higher stock price. ",Accounting,Accounting misrepresentation;Debt covenant breach;Growth overstated;Aggressive accounting;Regulatory headwinds;Corporate governance problems;Management turnover;Managerial self-dealing;Insider selling;Customer retention issues;business model pressure;Stock promotion;Too many acquisitions;Strategy issues
"Inovio Pharmaceuticals, Inc.",NYSE MKT, INO,1,GV_066697,Richard Pearson,2014,http://www.activistshorts.com/companies/239/campaigns/335,3/27/2014,3/27/2015,Stock promotion,Richard Pearson said an IR firm working for Inovio Pharmaceuticals had paid authors to write promotional articles about the company. Pearson notified the SEC. Inovio said it did not pay authors to promote the company.,Alive,3.10%,-36%,-49.40%,Insider buy,774,Richard Pearson,http://seekingalpha.com/article/2112373-behind-the-scenes-with-proactive-inovio-and-unilife,,0,,"On 3-27-2014, Richard Pearson said Inovio Pharmaceuticals had benefited from promotional pieces paid for through IR firm Proactive Capital. Pearson said Proactive paid for glowing investment pieces for a variety of the companies it worked for, including Inovio. Pearson called out a range of companies and Seeking Alpha contributors and was also sort UNIS based on his research into stock promotion. He said it would be a ""mini scandal among small caps."" Given the opportunity to respond, Inovio said that aside from Life Sciences Report, it did not sponsor any Seeking Alpha articles. Proactive Capital confirmed that Inovio was still a client. Pearson said that Inovio's stock's price would fall on the news.","I have now identified clear indications of undisclosed promotions at on both Inovio Pharmaceuticals (INO) and Unilife Corp (UNIS), using IR firm the Proactive Group. Proactive has been listed as a partner of The Dream Team Group on that firm’s website.",Financial modeling,Stock promotion
"Installed Building Products, Inc.",NYSE, IBP,1,GV_019516,Forensic Factor,2015,http://www.activistshorts.com/companies/455/campaigns/616,4/29/2015,,Misleading accounting; Ineffective roll-up,"Forensic Factor said Installed Building Products, Inc. had numerous red flags, including ""misrepresented financials, subtle alterations of earnings definitions, overstated cash flow, related party conflicts of interest,"" and many others.",Alive,-7.70%,6%,8.20%,n/a,735,Forensic Factor,http://seekingalpha.com/article/3114826-installed-building-products-a-misrepresented-roll-up-with-significant-downside,,0,,"On 4-29-2015, Forensic Factor said Installed Building Products, Inc. was a ""rolled-up amalgamation of 90+ cyclical acquisitions."" Forensic Factor said the company had numerous red flags, including misrepresented financials, subtle alterations of earnings definitions, overstated cash flow, related party conflicts of interest, margin goals that appeared disconnected from the company's economic model, poorly disclosed litigation accusing the company of systematically under-reporting hours worked and violating Fair Labor Standards Acts, and earnings estimates that had consistently been revised lower.","IBP is the rolled-up amalgamation of 90+ cyclical acquisitions and was in extreme financial duress as recently as several years ago.

An acquisition less than three years ago resulted in management implicitly valuing IBP's currency 95% lower than the current stock price. Management altered capex definition from the original S1.

Detailed allegations from employee lawsuits accuse IBP of requiring its installers to falsify work documentation, which if true, would be in violation of State and Federal laws.

IBP's CEO appears to also be the CEO of another company, which shares the same mailing address as IBP, and we believe is a customer of IBP.

Our base case implies IBP's shares have at least 40% downside & analysis of the pending Masco installation spin-off suggests IBP is at least 50% overvalued. Any suspicion towards IBP's related party dealings was given further credence by the recent insider transaction. On March 16, 2015, IBP announced they had repurchased $6.1 million of common stock in a privately negotiated transaction with an entity called IBS. Buying back stock is typically a shareholder friendly activity and a sign of management's confidence in the business. However, the disclosure that IBS (the seller) was beneficially owned in part by Jeff Edwards, IBP's CEO, is alarming.\",Accounting,Too many acquisitions;Accounting misrepresentation;Aggressive accounting;Cash shortage;Growth overstated;Related party transactions;Corporate governance problems;Legal Headwinds;Failure to disclose material adverse information;lackluster sales
Insulet Corporation,Nasdaq,PODD,1,,SkyTides,2016,https://www.activistshorts.com/companies/753/campaigns/1043,11/15/2016,,Medical effectiveness; ,"Skytides said that Insulet's product, Omnipod, had been ineffective. In the report, Skytides gave evidence of 44 deaths associated with Insulet patients and said that, out of the research it had obtained, four deaths were likely due to Omnipod to some degree.",Alive,7%,0.60%,-0.60%,n/a,19992,,http://seekingalpha.com/article/4022932-insulet-life-threatening-especially-children-undisclosed-patient-deaths-price-target-15,,0,,"On 11-15-2016, Skytides said, in a 67 page report, that Insulet Corporation's product, Omnipod, had been ineffective. In the report, Skytides gave evidence of 44 deaths associated with Insulet patients and said that, out of the research it had obtained, four deaths were likely due to Omnipod to some degree. Skytides said that it had uncovered evidence of the involvement of a whistleblower who alleged a patient's death due to Omnipod that the whistleblower had been paid-off and that there had been a subsequent cover-up of the patients death. Skytides said that it had obtained evidence that Omnipod had been life-threatening to children. Skytides said that Insulet had enjoyed an unexplained 42% premium prior to considering Skytides' findings.

On 11-16-2016, Skytides posted, on its website, questions for Insulet's management for the company's investor day and sent a copy to several investment firms.","Parent of diabetic child warns, ""... blood glucose would be a very high number damaging her eyes, kidneys, veins, heart... every one of these issues is life-threatening and could result in death.""

Professional device trainer warns, ""Omnipod is life-threatening, especially for children.""

4 undisclosed patient deaths tied to Omnipod, 1 death associated with a whistleblower, undisclosed settlement and alleged cover-up.

Risk associated with 20-month old FDA investigation is not priced into the stock and could very well be substantial. PODD confirmed the investigation remained open as of July 29, 2016.",Other information,product dangerous
"Insys Therapeutics, Inc.",Nasdaq, INSY,1,GV_179731,Bronte Capital,2014,http://www.activistshorts.com/companies/257/campaigns/361,5/11/2014,5/15/2015,Other illegal,"Bronte Capital said Insys Therapeutics' incentive-based sales model for its possibly addictive drugs meant illegal off-label marketing was likely occurring and made the company a good candidate for ""government closure."" The company said it had strict controls on sales.",Alive,-27.00%,81%,65.10%,Insider buy,"1,119",Bronte Capital,http://brontecapital.blogspot.com/2014/05/insys-therapeutics-drug-dealers-and.html,,0,,"On 5-11-2014, Bronte Capital said Insys Therapeutics, Inc. had a sales incentive structure for its addictive Subsys drug that was ripe for abuse. Because sales representatives had an incentive-based pay structure and its drug was ""wildly addictive and makes you massively high,"" Bronte said the structure was ""almost designed for something to go wrong."" Bronte noted a report on the previous Friday of a doctor in Michigan arrested for Medicare fraud that had been responsible for ""20.3 percent of Subsys"" prescriptions. Bronte suspected that the liquid form that Subsys came in made it more susceptible to diversion to illegal sources. Bronte said that ""at a minimum the Feds will investigate the [company's] sales practices and their link to the Michigan doctor."" He said the suspicious sales model and potential off-label marketing made the company ""as good as a candidate as any for government closure."" Bronte also noted a lack of patent protection for the product. On 5-13-2014, Bronte noted that while no company sells directly to physicians, all companies educated doctors directly about their drug in hopes that doctors would prescribe it. It was this interaction that Bronte said allowed for the off-label marketing. Bronte also said it did not seem that the fraudulent doctor in Michigan was required to sign an agreement with patients before prescribing Subsys.

On 5-15-2014, Bronte followed up on his report, highlighting that the New York Times had put out a story on Insys. The New York Times found that interviews with former sales reps suggested the company had marketed Subsys to doctors who did not treat many cancer patients, the drug's target patient. The story noted that Insys had received a subpoena in December and was cooperating with the government's investigation.","Insys Therapeutics (INSY:NASDAQ) is a seller of marijuana based anti-nausea drugs and super-strong opiates (Fentanyl) and nothing much else. Nothing has anything that resembles strong patent protection and their version of sublingual Fentanyl is a relatively new comer to the opiate scene - having only been on the market since early 2013.A me-too drug - another sublingual Fentanyl - but with a marketing incentive scheme that works and that encourages people to sign up.
",Legal,Strategy issues;Regulatory headwinds;Deceptive Marketing;Major business fraud;Intellectual Property ineffective;lackluster product
"Insys Therapeutics, Inc.",Nasdaq, INSY,1,GV_179731,Hayman Capital Management,2015,http://www.activistshorts.com/companies/257/campaigns/707,8/24/2015,,Patent invalid,"Kyle Bass of Hayman Capital Management filed an Inter Partes Review (IPR) petition against Hoffman-LaRoche Inc. to invalidate a patent the company owned and had licensed to Amgen Inc. The patent was one of two covering Amgen's Enbrel drug, which accounted for a quarter of Amgen's annual revenue. The IPR process allows fast-tracked challenges against patents.",Alive,-0.20%,-8%,-12.10%,Buyback/dividend; CEO resigns or is replaced ,"2,335",Hayman Capital Management,https://www.scribd.com/doc/276513594/Kyle-Bass-IPR-Against-Insys-Therapeutics,http://www.scribd.com/doc/276513708/Kyle-Bass-IPR-Against-Insys-Therapeutics-part-2,0,,"On 8-24-2015, an Inter Partes Review (IPR) petition was filed against Insys Therapeutics, Inc. by Kyle Bass of Hayman Capital Management. The petition sought to invalidate the patents associated with Subsys, a sublingual spray containing fentanyl and used for pain in adults with cancer, because a collection of earlier patents had made them obvious.",,Product,Intellectual Property ineffective
Intel Corporation,Nasdaq, INTC,1,GV_006008,Kynikos Associates,2015,http://www.activistshorts.com/companies/405/campaigns/545,1/16/2015,,Industry issues,Kynikos Associates said it was short Intel on concerns over the personal computer business.,Alive,0.70%,1%,-5.50%,Make acquisition,"174,979",Kynikos Associates,http://www.cnbc.com/2015/01/16/jim-chanos-makes-cases-against-intel-and-tesla.html,,0,,"On 1-16-2015, Jim Chanos of Kynikos Associates said in an interview on CNBC that he was short Intel and had been for about six months. Chanos said he had concerns over the personal computer business and said he saw ""continued pressures on PC-makers, components-makers."" He also said he was short Hewlett-Packard (HPQ), a short he had discussed since 2012, and said he was long Apple (AAPL). Later on, Chanos asked questions directly of Intel's CEO about the company's capital spending.","
Jim Chanos, head of the world's largest short-selling hedge fund, revealed on CNBC Friday that he's been short Intel for about six months because of his concerns about the personal computer business.",Industry,business model pressure;Overinvestment by company;Strategy issues
"InterCloud Systems, Inc.",Nasdaq, ICLD,1,GV_186748,Street Sweeper,2015,http://www.activistshorts.com/companies/476/campaigns/641,5/29/2015,,Stock promotion,"The Street Sweeper said InterCloud Systems was a stock promotion that had been riding ""cloud"" coattails, even though InterCloud had virtually no cloud-based revenue.",Alive,-8.00%,-65%,-62.20%,Private placement; Strategic review,70,Street Sweeper,http://www.thestreetsweeper.org/undersurveillance/InterCloud_Systems__Form_D__Other_Stormy_Issues_Threaten_This_Non_Cloud_Company,,0,,"On 5-29-2015, The Street Sweeper published an article calling InterCloud Systems a stock promotion that would fall more than 50%. The Street Sweeper said the company's stock had been riding ""cloud"" coattails but InterCloud had virtually no cloud-based revenue. The Street Sweeper noted that InterCloud paid $4.5 million in 2012 for a Telnet Solutions on Rand Road in Des Plaines, Illinois, but a Google map showed no building there.","ICLD recently filed Form D to sell $3 million in stock. With related-party loans carrying up to 18% interest, other issues may signal the beginning of potentially dilutive capital issues.

Excessive stock promotion allegations dog ICLD in the form of a class action lawsuit and an SEC subpoena linked to a sweeping market manipulation probe.

Garnering little to no interest from institutional investors or analysts, ICLD tries to justify its efforts by saying its stock would decline if not for promotions.

ICLD’s history of promotional issues is rivaled by its history of buying bad assets that deliver losses.

ICLD has gloomed onto “the cloud”, but the filings reveal virtually no cloud-based revenue.",Financial modeling,Stock promotion;lackluster sales;Possible fraud;Debt default risk;Debt covenant breach;Managerial self-dealing;stock manipulation;Ineffective management/staff
International Bancshares Corporation,Nasdaq, IBOC,1,GV_022086,Citron Research,2009,http://www.activistshorts.com/companies/586/campaigns/805,2/23/2009,4/30/2010,Over-levered; Industry issues ,Citron said that almost all of IBC's growth was in construction lending but that the real estate construction market in the bank's region was in a recession. Citron also said that the company's bad loan reserves were not sufficient to match the scope of its problem loans. The company responded that it maintained strong capital levels and that it operated in a strong geographic area.,Alive,-6.80%,216%,157.00%,Buyback/dividend,542,Citron Research,http://www.citronresearch.com/citron-examines-international-bancshares-nasdaqiboc/,,0,,,,,rejected - pre 2010
International Business Machines Corporation,NYSE, IBM,1,GV_006066,Duquesne Family Office,2013,http://www.activistshorts.com/companies/205/campaigns/273,11/22/2013,,Competitive pressures,"Druckenmiller said IBM's business would be replaced by cloud computing, with competition particularly strong from Google and Amazon.",Alive,-2.40%,-20%,-40.60%,Buyback/dividend,"199,938",Duquesne Family Office,http://www.bloomberg.com/news/videos/b/cb28145f-0bb5-4cfc-9c69-0b78cb43bba9,,0,,"On 11-22-2013, Stanley Druckenmiller of Duquesne Family Office presented a short thesis on IBM at the Robin Hood Investors conference in New York. Druckenmiller said the company's business would be replaced by cloud computing, with competition particularly strong from Google and Amazon. Druckenmiller said he was long Amazon, but his IBM short was larger (according to Duquesne's most recent 13F, Duquesne had a $50 million position in Amazon).",because the company’s business will be replaced by technology such as cloud computing.IBM’s sales have dropped for six straight quarters as the growth of services such as cloud computing have failed to make up for slowing demand for older businesses like hardware. The company is selling less-profitable divisions and is devoting cash to stock repurchases to help reach its forecast for growth in earnings per share.,Industry,business model pressure;Competitive headwinds;lackluster sales;Non-core operations masking growth
InterOil Corporation,NYSE, IOC,1,GV_148130,Whitney Tilson,2010,http://www.activistshorts.com/companies/214/campaigns/289,8/17/2010,4/2/2015,Stock promotion,"Tilson said InterOil was promoting its own stock with meaningless press releases, and he doubted that the company's fields had meaningful reserves.",Alive,-13.10%,-29%,-139.70%,Buyback/dividend; Divestiture ; Public equity offering ; CEO resigns or is replaced; CFO resigns or is replaced,"2,797",Whitney Tilson,http://abnormalreturns.com/2010/08/17/the-art-of-reading-13-f-filings/,,0,,"On 8-17-2010, media outlets reported that Whitney Tilson provided an update on T2 Partners' short position in InterOil. Tilson had disclosed T2's short position in InterOil in earlier letters to investors, but he had not expanded on his thesis until now. Tilson said the company was hyping its own stock with meaningless press releases, and he noted that it was connected to a known stock promoter. On 11-17-2010, Tilson told the New York Times, ""We think this stock will ultimately go down in history as one of the greatest promotions ever. Yes, there's natural gas there, but we think only a small fraction of what the company claims and certainly not enough to justify the company’s market cap."" Tilson said he first shorted InterOil around $30/share in April 2009. The article noted that Soros Fund Management owned 12% of InterOil.
",,Financial modeling,Stock promotion
InterOil Corporation,NYSE, IOC,1,GV_148130,Citron Research,2013,http://www.activistshorts.com/companies/214/campaigns/290,7/11/2013,7/11/2014,Stock promotion,Citron published a report highlighting the questionable history of certain persons involved with InterOil. Citron said the company appeared to be connected to a pump and dump scheme.,Alive,14.50%,-16%,-37.80%,Divestiture; CFO resigns or is replaced,"3,319",Citron Research,http://www.citronresearch.com/a-chain-is-only-as-strong-as-its-weakest-link-citron-comments-on-interoil-after-a-7-year-hiatus/,,0,,"On 7-11-2013, Citron Research published a report highlighting the questionable history of certain persons involved with InterOil. Citron said the company appeared to be connected to a pump and dump scheme. (Citron had originally written about Interoil in 2005-2007.)","One of the most impressive aspects of the Interoil promotion is their constant ability to attract “brand name” shareholders who have rotated over the past 9 years.  Their current “brand name” holders are none other than John Paulson and Richard Chandler, who beyond their riches and prior successes, were both holding the bag in the Sino-Forest debacle.Exactly one week later, Phil Mulacek resigned as the CEO of Interoil, which he had nursed along from its infancy for over a decade.  Citron notes how the abruptness of his resignation stands out, and comes with no logical explanation.",Management,pump and dump scheme;Unsavory management;Management turnover
Intertain Group Limited,Toronto,IT-CA,0,GV_019788,Spruce Point Capital,2015,http://www.activistshorts.com/companies/598/campaigns/821,12/17/2015,,Ineffective roll-up; Misleading accounting; Industry issues; Over-levered,"Spruce Point Capital said that Intertain's margins for its combined entity were impossible based off the company's flagship Gamesys asset, and Spruce Point also questioned Intertain's roll-up strategy and financial reporting. Intertain said that Spruce Point's report was ""misleading.""",Alive,-35.10%,-35.10%,-31.80%,Halt stock,622,Spruce Point Capital,http://www.sprucepointcap.com/reports/it_shortresearch_thesis_12-17-2015.pdf,,0,,"On 12-17-2015, in a 120-slide presentation, Spruce Point Capital said that Intertain Group Limited's margins for its combined entity were impossible based off the company's flagship Gamesys asset, which Spruce Point said almost never exceeded 25% profit margins, and it noted a 41% discrepancy between expected profit margins for Gamesys under Intertain versus actual current profit margins. Spruce Point also questioned Intertain's roll-up strategy and said that the company's ""debt-funded acquisition spree"" had pressured its balance sheet. Spruce Point added that Intertain's Gamesys acquisition was heavily promoted but that the asset appeared to be in decline, and it said that the bingo market in the UK was also in decline. Spruce Point additionally said that the company's Q3 2015 financial results and cash management appeared suspect, and it raised several accounting, financial reporting and disclosure concerns regarding Intertain's revenue recognition policies, errors in its financials and other issues.","Intertain is Another Speculative Canadian Roll-Up, But in Our Opinion the Worst of its Kind: Management Backgrounds Appear Checkered, Littered With Questionable Business Connections, History of Value Destruction.  We are concerned
that Intertain could exist primarily as a vehicle that enriches insiders and advisors, while leaving shareholders left holding a collection of
mature gaming assets, saddled with C$758m of debt and financial obligations, which could rise substantially from an increasing earn-out
payment schedule. ",Accounting,Growth overstated;Too many acquisitions;Debt default risk;Capital structure;Growth unsustainable;Stock promotion;business model pressure;Accounting misrepresentation;Cash shortage;Accounting controls weak;Ineffective management/staff;Unsavory management;Managerial self-dealing
Intertain Group Limited,Toronto,IT-CA,0,,Marc Cohodes,2016,https://www.activistshorts.com/companies/598/campaigns/1016,4/29/2016,,Ineffective roll-up; Over-levered,"Cohodes said that Intertain was over-levered and a ""bust"" roll-up.",Alive,-2.20%,-20.80%,-27.70%,n/a,773,,n/a,,0,,"On 4-29-2016, Marc Cohodes said in an interview with BNN that Intertain was one of the best shorts in Canada.

On 5-2-2016, in an interview with Graham & Doddsville, Cohodes said that Intertain was over-levered and a ""bust"" roll-up.",,Strategy,too many acquisitions;over-levered
